latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.089633002749942,12.137250012086382,Lichtstelen â€“ LichtlÃ¶cher,Cortenstahlstelen mit Bodenleuchten,Reinhard Buch,1997,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Lange_Strasse_Stelen.jpg
54.13763300274946,12.057747012120277,Liebespaar,Bronzeplastik,Martin Wetzel,1978,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_L%C3%BCtten_Klein_Liebespaar.jpg
54.180824002741815,12.083278012110707,Liebespaar,Bronzeplastik,Wilfried Fitzenreiter,1976,http://de.wikipedia.org/w/index.php?title=Datei:Wilfried_Fitzenreiter_Liebespaar.jpg
54.098472002752615,12.088297012106759,Liegender Akt,Steinplastik,Bernd Goebel,1975,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Kunsthalle3.jpg
54.148396002747674,12.062941012118374,Liegender Knabe,Bronzeplastik,Wilfried Fitzenreiter,1978/79,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Lichtenhagen_Knabe.jpg
54.091079002748842,12.147771012082076,Liegende und stehende Gewandfiguren,Bronzeplastik,Wolfgang Friedrich,1999,http://de.wikipedia.org/w/index.php?title=Datei:Skulptur_w_friedrich1999.jpg
54.093623002752828,12.093924012104326,Lyra,Ziegelrelief,Paul Wallat,1930er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Beethovenstrasse_Lyra.jpg
54.080975002756311,12.070033012113914,MÃ¤dchenakt,Bronzeplastik,Gerhard Rommel,1979,
54.111681002746934,12.137199012086889,MÃ¤dchen mit Apfel,Bronzeplastik,Reinhard Buch,1988/90,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Toitenwinkel_Maedchen.jpg
54.076722002752568,12.126660012090456,MÃ¤dchen mit Tragetuch,Sandsteinplastik,Liu Wenzhe und Li Qi Lu,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur7.jpg
54.073240002753522,12.120842012092762,Matrose,Bronzeplastik,Wolfgang Eckardt,1975,http://de.wikipedia.org/w/index.php?title=Datei:Matrose_Rostock_Wolfgang_Eckardt.JPG
54.087777002754052,12.088376012106487,Matrose,Bronzeplastik,,,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Hansekaserne_Matrose.jpg
54.086386002754189,12.08933101210606,Matrose mit Junge,Bronzeplastik,,,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Hansekaserne_Matrose_und_Junge.jpg
54.087907002752907,12.103378012100288,"Maurer, Landmann",Zementgussreliefmedaillons,Margarete Scheel,1935,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Scheel_Reliefs2.jpg
54.179261002742244,12.080473012111828,Meereskunde,Mosaiken,Otto Manigk,1966,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Warnemuende_Meeresforschung.jpg
54.076803002755376,12.090269012105452,Moschusochsen,Bronze- und Keramikplastik,Wilhelm LÃ¶ber,1961,http://de.wikipedia.org/w/index.php?title=Datei:Moschusochsen_Wilhelm_L%C3%B6ber.JPG
